id,category_name,base_hourly_rate_ap,base_hourly_rate_ugx,demand_level,demand_multiplier,description,required_certification,physical_intensity,skill_tier,is_active
1,General Labor,80,8000,high,1.2,Basic manual labor tasks: lifting moving carrying sorting,False,very_high,1,True
2,Cleaning Services,85,8500,high,1.2,House cleaning office cleaning deep cleaning,False,medium,1,True
3,Gardening,85,8500,high,1.2,Weeding planting lawn mowing garden maintenance,False,high,1,True
4,Farm Labor,90,9000,high,1.2,Crop harvesting planting tilling irrigation assistance,False,high,1,True
5,Childcare,110,11000,medium,1.0,Supervising children feeding playing basic tutoring,False,low,2,True
6,Elderly Care,120,12000,medium,1.0,Assistance with daily activities companionship meal preparation,False,low,2,True
7,Cooking Services,100,10000,medium,1.0,Meal preparation cooking for events catering,False,medium,2,True
8,Transportation,110,11000,medium,1.0,Driving delivery boda boda taxi services,False,medium,2,True
9,Security Guard,105,10500,medium,1.0,Premises security night watch event security,False,medium,2,True
10,Tailoring,115,11500,medium,1.0,Clothing alterations repairs custom garment making,True,high,2,True
11,Hairdressing,110,11000,medium,1.0,Haircuts styling braiding salon services,False,low,2,True
12,Teaching & Tutoring,150,15000,medium,1.0,Academic tutoring homework help exam preparation,True,very_low,3,True
13,Carpentry,160,16000,medium,1.0,Woodworking furniture making repairs carpentry,True,high,3,True
14,Painting,140,14000,medium,1.0,House painting interior exterior wall decoration,True,high,3,True
15,Welding,170,17000,medium,1.0,Metal fabrication welding repairs structural work,True,high,3,True
16,Auto Repair,180,18000,medium,1.0,Vehicle maintenance basic repairs mechanic work,True,high,3,True
17,Construction Work,220,22000,low,0.9,Building masonry bricklaying concrete work,True,high,4,True
18,Plumbing,200,20000,low,0.9,Pipe installation repairs drainage water systems,True,high,4,True
19,Electrical Work,230,23000,low,0.9,Wiring installation repairs electrical systems,True,high,4,True
20,IT & Technology,250,25000,low,0.9,Computer repair software help website building technical support,True,very_low,4,True
