id,facility_name,facility_type,contact_phone,contact_email,address,district,region_code,gps_lat,gps_lng,nhf_code,is_verified,partner_tier,commission_pct,accepts_afya_points,joined_at,is_active
1,Mulago National Referral Hospital,hospital,+256-414-554000,info@mulagohospital.go.ug,Mulago Hill,Kampala,UG.C,0.335470,32.576470,UG-KLA-001,TRUE,platinum,8.0,TRUE,2025-01-15,TRUE
2,Mbale Regional Referral Hospital,hospital,+256-454-433777,info@mbalehospital.go.ug,Pallisa Road,Mbale,UG.E,1.082380,34.175310,UG-MBL-002,TRUE,gold,10.0,TRUE,2025-02-01,TRUE
3,Gulu Regional Referral Hospital,hospital,+256-471-432291,info@guluhospital.go.ug,Lacor Road,Gulu,UG.N,2.774600,32.299270,UG-GUL-003,TRUE,gold,10.0,TRUE,2025-02-10,TRUE
4,Mbarara Regional Referral Hospital,hospital,+256-485-420763,info@mbararahospital.go.ug,Mbarara-Kabale Road,Mbarara,UG.W,0.603520,30.658750,UG-MBA-004,TRUE,silver,12.0,TRUE,2025-03-01,TRUE
5,International Hospital Kampala,hospital,+256-312-200400,info@iहk.co.ug,Namuwongo,Kampala,UG.C,0.303860,32.599760,UG-KLA-005,TRUE,platinum,8.0,TRUE,2025-01-20,TRUE
6,Case Hospital,hospital,+256-414-510000,info@casehospital.com,Naalya,Kampala,UG.C,0.374930,32.645090,UG-KLA-006,TRUE,gold,10.0,TRUE,2025-02-15,TRUE
7,Kampala Dialysis Center,dialysis,+256-414-344555,info@kampaladialysis.com,Bukoto,Kampala,UG.C,0.348560,32.589760,UG-KLA-007,TRUE,platinum,5.0,TRUE,2025-01-10,TRUE
8,Nsambya Hospital,hospital,+256-414-267051,info@nsambyahospital.org,Nsambya,Kampala,UG.C,0.298740,32.594320,UG-KLA-008,TRUE,gold,10.0,TRUE,2025-02-20,TRUE
9,Mengo Hospital,hospital,+256-414-274181,info@mengohospital.org,Namirembe,Kampala,UG.C,0.304860,32.558360,UG-KLA-009,TRUE,silver,12.0,TRUE,2025-03-05,TRUE
10,Jinja Regional Referral Hospital,hospital,+256-434-120064,info@jinjahospital.go.ug,Main Street,Jinja,UG.E,0.431350,33.204250,UG-JIN-010,TRUE,silver,12.0,TRUE,2025-03-10,TRUE
11,Kenyatta National Hospital,hospital,+254-20-2726300,info@knh.or.ke,Hospital Road,Nairobi,KE.C,-1.300510,36.807740,KE-NBI-001,TRUE,platinum,8.0,TRUE,2025-01-25,TRUE
12,Moi Teaching and Referral Hospital,hospital,+254-53-2033471,info@mtrh.go.ke,Nandi Road,Eldoret,KE.W,-0.520240,35.270150,KE-ELD-002,TRUE,gold,10.0,TRUE,2025-02-05,TRUE
