id,rule_name,rule_category,condition_sql,recommendation_text,recommendation_type,severity,suggested_foods_json,foods_to_avoid_json,nutrient_targets_json,is_active,priority
1,low_potassium_food_suggestion,nutrient_recommendation,SELECT 1 FROM potassium_logs WHERE user_id = :user_id AND potassium_value < 3.5 ORDER BY measured_at DESC LIMIT 1,Recent potassium log is below range (K+ < 3.5 mEq/L). Review potassium intake targets with the care team.,food_suggestion,warning,"[6, 20, 21, 41, 46, 49]",,"{""potassium_mg"": "">=3000""}",TRUE,8
2,high_potassium_restriction,nutrient_recommendation,SELECT 1 FROM potassium_logs WHERE user_id = :user_id AND potassium_value > 5.5 ORDER BY measured_at DESC LIMIT 1,Potassium log is above range (K+ > 5.5 mEq/L). Use clinician-set potassium targets before changing intake.,food_restriction,critical,,"[6, 20, 21, 41, 46, 49]","{""potassium_mg"": ""<2000""}",TRUE,10
3,high_fbs_carb_reduction,nutrient_recommendation,SELECT 1 FROM fasting_blood_sugar_logs WHERE user_id = :user_id AND fbs_mg_dl > 125 ORDER BY measured_at DESC LIMIT 1,Fasting blood sugar log is above threshold (FBS > 125 mg/dL). Review carbohydrate pattern and care plan.,food_restriction,warning,,"[102, 103, 104, 110]","{""carbohydrates_g"": ""<150"", ""sugar_g"": ""<25""}",TRUE,8
4,high_hba1c_diabetes_control,nutrient_recommendation,SELECT 1 FROM hba1c_logs WHERE user_id = :user_id AND hba1c_percent >= 8.0 ORDER BY measured_at DESC LIMIT 1,HbA1c log is 8.0% or higher. Review diabetes plan and nutrition targets with a licensed clinician.,doctor_consult,critical,,"[102, 103, 104, 110]","{""carbohydrates_g"": ""<130"", ""fiber_g"": "">30""}",TRUE,10
5,high_bp_sodium_restriction,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'bp_systolic' AND value >= 140 ORDER BY recorded_at DESC LIMIT 1,Blood pressure log is elevated (>=140 systolic). Review sodium target and monitoring plan with the care team.,food_restriction,warning,,"[70, 71, 72]","{""sodium_mg"": ""<1500""}",TRUE,9
6,ckd_stage3_phosphorus_restriction,nutrient_recommendation,SELECT 1 FROM creatinine_egfr_logs WHERE user_id = :user_id AND egfr_ml_min < 60 AND ckd_stage IN ('Stage 3a' 'Stage 3b') ORDER BY measured_at DESC LIMIT 1,Kidney function log matches CKD Stage 3 criteria. Review phosphorus targets with a licensed clinician.,food_restriction,warning,,"[25, 26, 80]","{""phosphorus_mg"": ""<800"", ""potassium_mg"": ""<2000"", ""protein_g"": ""0.6-0.8 * body_weight_kg""}",TRUE,9
7,ckd_stage4_protein_restriction,nutrient_recommendation,SELECT 1 FROM creatinine_egfr_logs WHERE user_id = :user_id AND egfr_ml_min < 30 AND ckd_stage = 'Stage 4' ORDER BY measured_at DESC LIMIT 1,eGFR log is below 30 with Stage 4 CKD label. Review protein and mineral targets with a nephrology clinician.,doctor_consult,critical,,"[1, 2, 8, 9]","{""protein_g"": ""0.6 * body_weight_kg"", ""phosphorus_mg"": ""<700"", ""potassium_mg"": ""<2000""}",TRUE,10
8,anemia_iron_suggestion,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'hemoglobin' AND value < 11.0 ORDER BY recorded_at DESC LIMIT 1,Hemoglobin log is below range (Hb <11 g/dL). Review iron status and diet plan with the care team.,food_suggestion,warning,"[30, 20, 21, 10, 12]",,"{""iron_mg"": "">=15""}",TRUE,7
9,high_cholesterol_diet_change,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'cholesterol_total' AND value >= 240 ORDER BY recorded_at DESC LIMIT 1,Cholesterol log is above threshold (>=240 mg/dL). Review fat intake pattern with the care team.,food_restriction,warning,,"[85, 86, 87, 88]","{""saturated_fat_g"": ""<7% of calories"", ""trans_fat_g"": ""0""}",TRUE,7
10,high_ldl_statin_adherence,medication_reminder,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'ldl' AND value >= 160 ORDER BY recorded_at DESC LIMIT 1,LDL log is above threshold (>=160 mg/dL). Review medication schedule and follow-up plan.,medication_check,critical,,,,TRUE,9
11,medication_nonadherence_warning,medication_reminder,SELECT 1 FROM (SELECT user_id AVG(CASE WHEN status = 'taken' THEN 1 ELSE 0 END) AS adherence_rate FROM adherence_logs WHERE user_id = :user_id AND scheduled_at >= DATE('now' '-30 days') GROUP BY user_id) WHERE adherence_rate < 0.75,Medication adherence is below 75% this month. Review barriers and schedule with the care team.,medication_check,warning,,,,TRUE,8
12,weight_loss_success,biometric_milestone,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'weight' AND value <= (SELECT value * 0.95 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'weight' ORDER BY recorded_at ASC LIMIT 1) ORDER BY recorded_at DESC LIMIT 1,Congratulations! You've lost 5% or more of your starting weight. Keep up the great work!,positive_feedback,info,,,,TRUE,3
13,lab_value_improved,biometric_milestone,SELECT 1 FROM hba1c_logs WHERE user_id = :user_id AND hba1c_percent <= (SELECT hba1c_percent - 0.5 FROM hba1c_logs WHERE user_id = :user_id ORDER BY measured_at DESC LIMIT 1 OFFSET 1) ORDER BY measured_at DESC LIMIT 1,Excellent! Your HbA1c dropped by 0.5% or more. Your efforts are paying off!,positive_feedback,info,,,,TRUE,3
14,bp_control_achieved,biometric_milestone,SELECT 1 FROM (SELECT COUNT(*) AS control_days FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'bp_systolic' AND value < 140 AND recorded_at >= DATE('now' '-30 days')) WHERE control_days >= 25,Great job! Your blood pressure has been under control for 25+ days this month.,positive_feedback,info,,,,TRUE,3
15,meal_logging_streak,adherence_tracking,SELECT 1 FROM (SELECT COUNT(DISTINCT DATE(meal_time)) AS logged_days FROM meals WHERE user_id = :user_id AND meal_time >= DATE('now' '-7 days')) WHERE logged_days >= 7,You've logged meals for 7 days straight! Consistency is key to health improvement.,positive_feedback,info,,,,TRUE,3
16,missed_meals_warning,adherence_tracking,SELECT 1 FROM (SELECT COUNT(DISTINCT DATE(meal_time)) AS logged_days FROM meals WHERE user_id = :user_id AND meal_time >= DATE('now' '-7 days')) WHERE logged_days < 3,Meals were logged on fewer than 3 days this week. More context improves the nutrition summary.,adherence_warning,warning,,,,TRUE,6
17,low_fiber_constipation_risk,nutrient_recommendation,SELECT 1 FROM daily_nutrition_summary WHERE user_id = :user_id AND date >= DATE('now' '-7 days') GROUP BY user_id HAVING AVG(fiber_g) < 15,Fiber intake log is low (avg <15g/day). Review fiber targets and food options with the care plan.,food_suggestion,info,"[3, 20, 21, 41, 49]",,"{""fiber_g"": "">=25""}",TRUE,5
18,dehydration_risk,nutrient_recommendation,SELECT 1 FROM hydration_log WHERE user_id = :user_id AND date = DATE('now') GROUP BY user_id HAVING SUM(amount_ml) < 1000,Hydration log is below 1 liter today. Add context or review hydration target with the care team.,hydration_reminder,warning,,,,TRUE,7
19,high_sodium_intake,nutrient_recommendation,SELECT 1 FROM daily_nutrition_summary WHERE user_id = :user_id AND date >= DATE('now' '-7 days') GROUP BY user_id HAVING AVG(sodium_mg) > 2300,Average sodium intake log is above target (>2300mg/day). Review sodium sources and target range.,food_restriction,warning,,"[70, 71, 72]","{""sodium_mg"": ""<2000""}",TRUE,7
20,high_sugar_intake,nutrient_recommendation,SELECT 1 FROM daily_nutrition_summary WHERE user_id = :user_id AND date >= DATE('now' '-7 days') GROUP BY user_id HAVING AVG(sugar_g) > 50,Average sugar intake log is above target (avg >50g/day). Review sugar sources and target range.,food_restriction,warning,,"[102, 103, 104, 110]","{""sugar_g"": ""<25""}",TRUE,7
21,vitamin_d_deficiency,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'vitamin_d' AND value < 20 ORDER BY recorded_at DESC LIMIT 1,Vitamin D log is below range (<20 ng/mL). Review diet exposure and supplement plan with the care team.,food_suggestion,warning,"[4, 5, 13]",,"{""vitamin_d_ug"": "">=15""}",TRUE,6
22,vitamin_b12_deficiency,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'vitamin_b12' AND value < 200 ORDER BY recorded_at DESC LIMIT 1,Vitamin B12 log is below range (<200 pg/mL). Review diet and supplement plan with the care team.,food_suggestion,warning,"[1, 2, 4, 5, 8]",,"{""vitamin_b12_ug"": "">=2.4""}",TRUE,6
23,iron_deficiency_anemia,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'ferritin' AND value < 30 ORDER BY recorded_at DESC LIMIT 1,Iron stores log is below range (ferritin <30 ng/mL). Review iron plan and meal timing with the care team.,food_suggestion,warning,"[30, 20, 10, 12]",,"{""iron_mg"": "">=18""}",TRUE,7
24,calcium_deficiency,nutrient_recommendation,SELECT 1 FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'calcium' AND value < 8.5 ORDER BY recorded_at DESC LIMIT 1,Calcium log is below range (<8.5 mg/dL). Review calcium target and food options with the care team.,food_suggestion,warning,"[25, 26, 27]",,"{""calcium_mg"": "">=1000""}",TRUE,6
25,prediabetes_warning,nutrient_recommendation,SELECT 1 FROM hba1c_logs WHERE user_id = :user_id AND hba1c_percent >= 5.7 AND hba1c_percent < 6.5 ORDER BY measured_at DESC LIMIT 1,HbA1c log falls in the prediabetes range (5.7-6.4%). Review diet and activity plan with a licensed clinician.,lifestyle_change,warning,,"[102, 103, 104, 110]","{""carbohydrates_g"": ""<150"", ""fiber_g"": "">30""}",TRUE,8
26,diabetes_diagnosis,nutrient_recommendation,SELECT 1 FROM hba1c_logs WHERE user_id = :user_id AND hba1c_percent >= 6.5 ORDER BY measured_at DESC LIMIT 1 WHERE NOT EXISTS (SELECT 1 FROM user_conditions WHERE user_id = :user_id AND condition = 'Diabetes'),HbA1c log is at or above the diabetes threshold (>=6.5%). Arrange clinical evaluation with a licensed clinician.,doctor_consult,critical,,,,TRUE,10
27,ckd_new_diagnosis,nutrient_recommendation,SELECT 1 FROM creatinine_egfr_logs WHERE user_id = :user_id AND egfr_ml_min < 60 ORDER BY measured_at DESC LIMIT 1 WHERE NOT EXISTS (SELECT 1 FROM user_conditions WHERE user_id = :user_id AND condition = 'CKD'),eGFR log is below 60. Arrange kidney function review with a licensed clinician.,doctor_consult,critical,,,,TRUE,10
28,hypertension_new_diagnosis,nutrient_recommendation,SELECT 1 FROM (SELECT AVG(value) AS avg_bp FROM clinical_logs WHERE user_id = :user_id AND metric_type = 'bp_systolic' AND recorded_at >= DATE('now' '-30 days')) WHERE avg_bp >= 140,Average systolic blood pressure log is >=140 over 30 days. Arrange clinical review.,doctor_consult,warning,,,,TRUE,9
29,emergency_hyperkalemia,nutrient_recommendation,SELECT 1 FROM potassium_logs WHERE user_id = :user_id AND potassium_value > 6.0 ORDER BY measured_at DESC LIMIT 1,Safety notice: potassium log is above 6.0 mEq/L. Follow the local emergency care protocol.,emergency_protocol,emergency,,,,TRUE,10
30,emergency_hypoglycemia,nutrient_recommendation,SELECT 1 FROM fasting_blood_sugar_logs WHERE user_id = :user_id AND fbs_mg_dl < 70 ORDER BY measured_at DESC LIMIT 1,Safety notice: blood sugar log is below 70 mg/dL. Follow the clinician-provided hypoglycemia protocol.,emergency_protocol,emergency,"[102, 103, 110]",,,TRUE,10
